tgos_id,company_id,company_name,store_name,store_address,store_status,store_create_date,store_update_date,longitude,latitude
928,16740494,全聯實業股份有限公司,基隆新豐分公司,基隆市中正區新豐街262號、264號、266號、262號底1層、264號底1層、266號底1層,1,1030612,1050310,121.787844,25.136775
930,16740494,全聯實業股份有限公司,嘉義民權分公司,嘉義市民權路177號及民國路247號,1,1030616,1120605,120.459485,23.483626
933,16740494,全聯實業股份有限公司,斗六鎮南分公司,雲林縣斗六市鎮南路246、248、250號,1,1030620,1100308,120.554384,23.677534
934,16740494,全聯實業股份有限公司,嘉義興業二分公司,嘉義市東區興業東路40號,1,1030620,1050318,120.45511,23.46928
935,16740494,全聯實業股份有限公司,大園菓林分公司,桃園市大園區菓林路69號,1,1030619,1121106,121.258396,25.075351
936,16740494,全聯實業股份有限公司,淡水新春分公司,新北市淡水區新春街140號及138號地下1樓,1,1030624,1101103,121.441729,25.181649
937,16740494,全聯實業股份有限公司,朴子四維分公司,嘉義縣朴子市大同路291號,1,1030625,1110506,120.236994,23.461449
938,16740494,全聯實業股份有限公司,新營金華分公司,臺南市新營區隋唐街197號,1,1030626,1051028,120.300013,23.30744
939,16740494,全聯實業股份有限公司,麻豆中正分公司,臺南市麻豆區中正路348、348之1號,1,1030625,1080605,120.253203,23.189575
940,16740494,全聯實業股份有限公司,太平樹孝分公司,臺中市太平區樹孝路439號,1,1030704,1031230,120.720001,24.157287
941,16740494,全聯實業股份有限公司,大村中正西分公司,彰化縣大村鄉中正西路98、100號,1,1030718,1100416,120.544867,23.993867
942,16740494,全聯實業股份有限公司,屏東里港分公司,屏東縣里港鄉春林村鐵店路21-30及21-31號,1,1030729,1090316,120.497936,22.777505
943,16740494,全聯實業股份有限公司,橋頭隆豐分公司,高雄市橋頭區隆豐路137號,1,1030812,       ,120.306436,22.755032
944,16740494,全聯實業股份有限公司,屏東廣東分公司,屏東縣屏東市廣東路1108-10號,1,1030909,1121108,120.483042,22.687633
945,16740494,全聯實業股份有限公司,鹽埕壽星分公司,高雄市鹽埕區七賢三路243號地下1樓、1樓及247號2樓,1,1030910,1140707,120.283919,22.630045
946,16740494,全聯實業股份有限公司,福興員鹿分公司,彰化縣福興鄉員鹿路2段88號,1,1030919,1110905,120.436187,24.03779
947,16740494,全聯實業股份有限公司,大安正聲分公司,臺北市大安區延吉街161號地下1樓,1,1030929,1130111,121.555265,25.038972
948,16740494,全聯實業股份有限公司,土城學府分公司,新北市土城區學府路1段19-1號、21號,1,1031003,       ,121.458713,24.988223
949,16740494,全聯實業股份有限公司,台中樂業分公司,臺中市東區樂業路327號,1,1031030,       ,120.70314,24.138961
950,16740494,全聯實業股份有限公司,宜蘭新生分公司,宜蘭縣宜蘭市中山路5段129號,1,1031031,1130110,121.756491,24.770112
951,16740494,全聯實業股份有限公司,板橋公館分公司,新北市板橋區文化路1段101巷13號地下1層及13號之1地下1層,1,1031103,1141029,121.460826,25.0145
952,16740494,全聯實業股份有限公司,佳里仁愛分公司,臺南市佳里區仁愛路388號,1,1031110,1130109,120.176821,23.154916
953,16740494,全聯實業股份有限公司,南港中信分公司,臺北市南港區經貿二路188號3樓,1,1031114,1100705,121.614993,25.059335
954,16740494,全聯實業股份有限公司,彰化田中分公司,彰化縣田中鎮中正路305號,1,1031113,1050318,120.582766,23.858635
955,16740494,全聯實業股份有限公司,中和福祥分公司,新北市中和區福祥路72號1樓,1,1031114,1141212,121.499305,25.005524
956,16740494,全聯實業股份有限公司,鹿港鹿草分公司,彰化縣鹿港鎮鹿草路1段487巷11號,1,1031121,1031217,120.436474,24.066189
957,16740494,全聯實業股份有限公司,玉井中華分公司,臺南市玉井區中華路283號,1,1031124,1110905,120.466599,23.120086
958,16740494,全聯實業股份有限公司,頭份中央分公司,苗栗縣頭份市中央路706號,1,1031127,1141212,120.891666,24.694551
959,16740494,全聯實業股份有限公司,台南北安分公司,臺南市安南區北安路三段92、96號,1,1031208,1140808,120.213295,23.054742
960,16740494,全聯實業股份有限公司,鳳山博愛分公司,高雄市鳳山區博愛路361號,1,1031223,       ,120.367876,22.630849
961,16740494,全聯實業股份有限公司,褒忠中正分公司,雲林縣褒忠鄉中正路51號,1,1031217,1140509,120.314809,23.695309
962,16740494,全聯實業股份有限公司,羅東光榮分公司,宜蘭縣羅東鎮光榮路200號,1,1031216,1080610,121.774795,24.673075
963,16740494,全聯實業股份有限公司,永康大橋分公司,臺南市永康區大橋二街218號、大橋一街247巷69號,1,1031217,1050225,120.228161,23.019382
965,16740494,全聯實業股份有限公司,永和成功分公司,新北市永和區成功路2段28號地下1層之22-37、39、41、43、45、47,1,1040107,1090713,121.526612,25.000546
966,16740494,全聯實業股份有限公司,澎湖湖西分公司,澎湖縣湖西鄉湖西村77-18號,1,1040119,1060525,119.657526,23.584081
967,16740494,全聯實業股份有限公司,鳳山建國分公司,高雄市鳳山區建國路2段90號、鳳松路77巷7號,1,1040121,1121108,120.36103,22.635228
968,16740494,全聯實業股份有限公司,大里益民分公司,臺中市大里區益民路1段175號、177號,1,1040126,1040812,120.692954,24.107119
969,16740494,全聯實業股份有限公司,恆春恆南分公司,屏東縣恆春鎮恆南路30、32號,1,1040127,1140207,120.77854,21.97973
970,16740494,全聯實業股份有限公司,台南小東分公司,臺南市東區小東路246號1、2樓,1,1040210,1100308,120.229078,22.999274
971,16740494,全聯實業股份有限公司,新興林森一分公司,高雄市新興區林森一路230號,1,1040302,1130903,120.305226,22.633914
972,16740494,全聯實業股份有限公司,台中市政分公司,臺中市西屯區惠來里文心路二段501號,1,1080513,       ,120.646158,24.154868
973,16740494,全聯實業股份有限公司,元長元南分公司,雲林縣元長鄉長南村8鄰元南路57號、57-1號,1,1080508,1090306,120.312867,23.647075
974,16740494,全聯實業股份有限公司,苓雅二聖分公司,高雄市苓雅區英明里二聖一路58號,1,1080513,1141210,120.325397,22.612086
975,16740494,全聯實業股份有限公司,台中建國南分公司,臺中市南區崇倫里建國南路1段255號,1,1080531,1130513,120.658043,24.124604
976,16740494,全聯實業股份有限公司,中和華新分公司,新北市中和區正南里華新街26-1號1樓及26-2號地下層,1,1080531,1081111,121.507598,24.984739
977,16740494,全聯實業股份有限公司,仁武八德南分公司,高雄市仁武區大灣里八德南路475、479號,1,1080531,1090309,120.342761,22.672312
978,16740494,全聯實業股份有限公司,新湖分公司,臺北市內湖區新湖一路128巷36號2樓,1,1080604,1140721,121.576702,25.060009
979,16740494,全聯實業股份有限公司,麻豆中山分公司,臺南市麻豆區新興里中山路82號,1,1080605,       ,120.245658,23.183817
980,16740494,全聯實業股份有限公司,大寮三隆分公司,高雄市大寮區大寮里大寮路667、669號,1,1080605,       ,120.422396,22.591781
981,16740494,全聯實業股份有限公司,三民褒揚分公司,高雄市三民區寶國里褒揚街285號,1,1080610,1120914,120.339896,22.640806
982,16740494,全聯實業股份有限公司,台中大昌分公司,臺中市南屯區大同里大墩五街98號,1,1080610,       ,120.65194,24.141938
983,16740494,全聯實業股份有限公司,台南西和分公司,臺南市中西區西和里西和路106號,1,1080610,       ,120.189229,23.000589
984,16740494,全聯實業股份有限公司,嘉義湖子內分公司,嘉義市西區湖內里健康十三路169、171號,1,1080625,1110511,120.442646,23.452594
985,16740494,全聯實業股份有限公司,卓蘭經國分公司,苗栗縣卓蘭鎮新厝里15鄰經國路128號,1,1080626,       ,120.823598,24.31378
986,16740494,全聯實業股份有限公司,小港康莊分公司,高雄市小港區順苓里康莊路80號,1,1080708,1120407,120.355688,22.568261
987,16740494,全聯實業股份有限公司,永康中正北分公司,臺南市永康區塩興里中正北路125號,1,1080709,1080808,120.240951,23.041723
988,16740494,全聯實業股份有限公司,楠梓興楠分公司,高雄市楠梓區享平里興楠路260號,1,1080801,       ,120.333143,22.730212
989,16740494,全聯實業股份有限公司,板橋合宜分公司,新北市板橋區中山里合宜路69號,1,1080808,1140903,121.447046,24.99742
990,16740494,全聯實業股份有限公司,古坑文淵分公司,雲林縣古坑鄉朝陽村文淵路160、162號,1,1080808,       ,120.564047,23.649144
991,16740494,全聯實業股份有限公司,板橋區運分公司,新北市板橋區深丘里區運路22號地下1層、32號地下1層,1,1080815,1120407,121.465326,25.009346
992,16740494,全聯實業股份有限公司,鹽埕七賢三分公司,高雄市鹽埕區新豐里七賢三路6號,1,1080904,1121108,120.279813,22.621486
993,16740494,全聯實業股份有限公司,竹北光明分公司,新竹縣竹北市十興里光明六路東一段223、225號,1,1080904,       ,121.028201,24.820564
994,16740494,全聯實業股份有限公司,竹北十興分公司,新竹縣竹北市北興里36鄰莊敬七街118號,1,1080904,1120602,121.031089,24.825331
995,16740494,全聯實業股份有限公司,平鎮龍南分公司,桃園市平鎮區新安里龍南路552巷1號、552巷3弄1號、556號、558號,1,1080906,       ,121.255032,24.917871
996,16740494,全聯實業股份有限公司,九如九里分公司,屏東縣九如鄉九清村九里路59-5、59-6、59-7號,1,1080906,1121108,120.488411,22.734442
997,16740494,全聯實業股份有限公司,內湖東湖分公司,臺北市內湖區五分里東湖路118號地下1層、地下1層之1至40、安康路480號地下1層、地下1層之1至4,1,1080906,1140307,121.616083,25.068165
998,16740494,全聯實業股份有限公司,台中明新分公司,臺中市北區明新里中清路1段425號,1,1080909,       ,120.673857,24.164255
999,16740494,全聯實業股份有限公司,北斗斗中分公司,彰化縣北斗鎮東光里斗中路739號,1,1081015,1110707,120.533559,23.870576
1000,16740494,全聯實業股份有限公司,萬里瑪鋉分公司,新北市萬里區龜吼里1鄰美崙12號,1,1081016,1090103,121.687365,25.183993
1001,16740494,全聯實業股份有限公司,蘆竹興福分公司,桃園市蘆竹區上興里1鄰上興路182號,1,1081016,1110310,121.261578,25.019334
1002,16740494,全聯實業股份有限公司,佳冬玉光分公司,屏東縣佳冬鄉石光村玉光街107號、109號、111號,1,1081111,1121204,120.563813,22.430289
1003,16740494,全聯實業股份有限公司,龜山大同分公司,桃園市龜山區大同里大同路222號,1,1081111,1121006,121.344198,24.990414
1004,16740494,全聯實業股份有限公司,岡山大仁北分公司,高雄市岡山區碧紅里大仁北路363號,1,1081112,       ,120.303005,22.794824
1005,16740494,全聯實業股份有限公司,蘆竹山腳分公司,桃園市蘆竹區山腳里7鄰南山路3段427號,1,1081112,1120208,121.287419,25.088054
1006,16740494,全聯實業股份有限公司,台中文山分公司,臺中市南屯區文山里文山三街358、360號,1,1141028,       ,120.607465,24.14677
1007,16740494,全聯實業股份有限公司,淡水義山分公司,新北市淡水區崁頂里義山路二段303號1樓,1,1141030,       ,121.43907,25.199127
1008,16740494,全聯實業股份有限公司,大村大仁分公司,彰化縣大村鄉大村村大仁路二段32、36、38號,1,1141028,       ,120.543097,23.994944
1009,16740494,全聯實業股份有限公司,觀音民生分公司,桃園市觀音區樹林里民生路9號,1,1141028,       ,121.12182,25.053583
1010,16740494,全聯實業股份有限公司,基隆中和分公司,基隆市中山區中和里中和路77、79號1樓,1,1141028,       ,121.717938,25.154395
1011,16740494,全聯實業股份有限公司,基隆福五分公司,基隆市七堵區百福里百七街72號地下一層,1,1141028,       ,121.697657,25.086846
1012,16740494,全聯實業股份有限公司,台中福昌分公司,臺中市東區東南里東光路150-5、152-5號,1,1141009,       ,120.698148,24.146478
1013,16740494,全聯實業股份有限公司,崁頂中正分公司,屏東縣崁頂鄉崁頂村中正路146號,1,1141009,       ,120.511668,22.513076
